,cross_number,distance,b1,b2,b3,b4,b5,b6,offset,p,t1,t2,y1,y2,y3,y4,y5,y6,z,u1,u2,u3,u4,u5,u6,bb1,bb2,dw1,dw2,tb1,tb2
0,1.0,800.0,24.306195596518183,24.306195595715415,0.0,28.108180429429,0.0,28.443420379626673,0.0,0.0,98.60385731353475,73.78050862170674,1.0,1.0,0.0,1.0,0.0,1.0,86.19218296637652,0.0,0.0,0.0,0.0,0.0,0.0,24.306195596518183,28.443420378101543,15.0,15.0,86.19218296637652,72.14285714285714
1,2.0,520.0,22.40996757045517,22.409967571257898,0.0,28.443420374248472,0.0,28.443420374649815,0.0,0.0,52.58832565284178,38.861580471754436,1.0,1.0,0.0,1.0,0.0,1.0,86.19218296637652,0.0,0.0,0.0,0.0,0.0,0.0,22.40996757206064,28.443420379706964,15.0,15.0,65.0,40.499231950844845
2,3.0,500.0,22.409967572060623,22.409967571257898,0.0,19.824202082266602,0.0,19.82420208186526,65.94811401303151,0.0,57.32761563406726,49.76617170245831,1.0,1.0,0.0,1.0,0.0,1.0,86.19218296637652,0.0,0.0,0.0,0.0,0.0,0.0,22.40996757206064,19.824202082266602,15.0,15.0,55.86234852363884,50.714285714285715
3,4.0,490.0,21.979006656426012,21.979006655623266,0.0,19.824202082266602,0.0,19.82420208186526,35.61827956949111,0.0,48.8931558286397,37.514507595152764,1.0,1.0,0.0,1.0,0.0,1.0,86.19218296637652,0.0,0.0,0.0,0.0,0.0,0.0,21.979006656426012,19.824202082266602,15.0,15.0,50.35842293906809,36.56639358252262
4,5.0,370.0,21.979006656426012,21.97900665722876,0.0,21.979006655623287,0.0,21.97900665602464,0.0,0.0,40.22188086704216,27.223502304147495,1.0,1.0,0.0,1.0,0.0,1.0,86.19218296637652,0.0,0.0,0.0,0.0,0.0,0.0,21.979006656426012,21.979006655623248,15.0,48.15,41.42857142857143,94.4
5,6.0,254.0,43.328887328887376,38.33625833625837,43.32888732888737,115.90031767683776,0.0,115.90033194232257,86.77429911080911,1.0,18.142857142857142,18.14285714285715,1.0,1.0,1.0,1.0,0.0,1.0,178.30817830817847,0.014000030000000344,1e-08,1e-08,-3.000465736979763e-08,1e-08,1e-08,43.32888732888737,115.90031767683774,15.0,15.0,18.14285714285716,18.14285714285716
6,7.0,585.0,43.328887328887376,38.33625833625837,43.32888732888737,43.32888732888735,0.0,43.32887306340254,104.9171553654054,0.0,66.43700933799951,53.207778300145755,1.0,1.0,1.0,1.0,0.0,1.0,178.30817830817847,0.0,0.0,0.0,0.0,0.0,0.0,43.32888732888737,43.32888732888737,15.0,38.74616897017896,66.4370093379995,111.87116897017896
7,8.0,1020.0,15.730982142857142,0.0,15.730982142857142,0.0,23.834821428571427,0.0,95.33928762462311,1.0,101.67934821428571,111.07026786069451,1.0,0.0,1.0,0.0,1.0,0.0,95.33928571428571,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,15.730982142857142,15.730983790242,15.0,15.0,101.67934821428571,88.9992232142857
8,9.0,409.0,10.894337165473045,0.0,28.411107142857144,0.0,23.834821428571427,0.0,0.0,0.0,51.125,41.92614285714286,1.0,0.0,1.0,0.0,1.0,0.0,95.33928571428571,0.0,0.0,0.0,0.0,0.0,0.0,28.41110714285714,15.730980495472286,15.0,15.0,51.12499999999999,44.214285714285715
9,10.0,547.0,46.54948161426671,0.0,46.54948161426671,46.54948161426671,46.54948161426671,0.0,60.888042542633386,1.0,61.93380991056326,60.888041314414856,1.0,0.0,1.0,1.0,1.0,0.0,122.82185122497812,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,46.54948161426671,46.54948161426671,15.0,15.0,61.93380991056326,54.07142857142857
10,11.0,566.0,46.54948161426671,0.0,46.54948161426671,46.54948161426671,46.54948161426671,0.0,0.0,0.0,58.61324524444862,64.20860598052948,1.0,0.0,1.0,1.0,1.0,0.0,122.82185122497812,0.0,0.0,0.0,0.0,0.0,0.0,46.54948161426671,46.54948161426671,15.0,15.0,58.613245244448635,71.02521872351576
11,12.0,831.0,36.84655536749344,0.0,36.84655536749344,46.549484070703784,46.54948161426671,0.0,58.61324524444863,0.0,59.35714285714285,63.464708367835264,1.0,0.0,1.0,1.0,1.0,0.0,122.82185122497812,0.0,0.0,0.0,0.0,0.0,0.0,36.84655536749344,46.54948161426671,15.0,15.0,59.35714285714285,63.464708367835264
12,13.0,,36.84655536749344,0.0,36.84655536749344,36.84655291105635,36.84655536749343,0.0,122.82185122497812,0.0,,,1.0,0.0,1.0,1.0,1.0,0.0,122.82185122497812,0.0,0.0,0.0,0.0,0.0,0.0,36.84655536749344,36.84655536749343,,,,
