,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.282,0.426,0.26,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0.277,0.255,0.65,0.243,0.165,0.298,0.379,0.49,0.379,0.3
2,0.38,0.368,0.23,0,0,0,0,0,0,0,0,0,0
3,0,0,0.09,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0.254,0.138,0,0.215,0.25,0.34,0.337,0.231,0.337,0.186
5,0.158,0,0.22,0.254,0,0,0.139,0.266,0,0.284,0.132,0,0.28
6,0,0.206,0,0,0.49,0.35,0.257,0,0.362,0,0,0,0
7,0.18,0,0.2,0.215,0,0,0.146,0.319,0,0,0.143,0.284,0.234
8,0,0,0,0,0.117,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,0.48,0.37,0.37,0.22,0.72,0.4,0.49,0.52,0.25,0.24,0.25,0.56,0.37
,0.54,0.35,0.87,0.29,0.21,-,0.49,0.53,0.52,0.35,0.75,-,0.84
,0.46,0.29,0.5,0.31,0.53,0.29,0.47,0.39,0.38,0.54,0.23,0.35,0.58
,0.63,0.6,0.64,0.46,0.92,-,0.46,0.57,0.27,-,0.74,0.17,0.82
,,,,,,,,,,,,,
,0.46 ,0.36 ,0.36 ,0.21 ,0.69 ,0.38 ,0.47 ,0.50 ,0.24 ,0.23 ,0.24 ,0.54 ,0.36 
,0.52 ,0.34 ,0.84 ,0.28 ,0.20 ,#VALUE!,0.47 ,0.51 ,0.50 ,0.34 ,0.72 ,#VALUE!,0.81 
,0.44 ,0.28 ,0.48 ,0.30 ,0.51 ,0.28 ,0.45 ,0.37 ,0.36 ,0.52 ,0.22 ,0.34 ,0.56 
,0.60 ,0.58 ,0.61 ,0.44 ,0.88 ,#VALUE!,0.44 ,0.55 ,0.26 ,#VALUE!,0.71 ,0.16 ,0.79 
