,timeNo.:,traveltime1,vehicles1,traveltime2,vehicles2,traveltime3,vehicles3,traveltime4,vehicles4,traveltime5,vehicles5,traveltime6,vehicles6,traveltime7,vehicles7,traveltime8,vehicles8
0,60,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1,120,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2,180,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
3,240,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
4,300,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
5,360,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
6,420,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
7,480,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
8,540,0.0,0,0.0,0,0.0,0,0.0,0,523.4,1,0.0,0,0.0,0,0.0,0
9,600,0.0,0,0.0,0,0.0,0,0.0,0,503.9,2,0.0,0,0.0,0,0.0,0
10,660,0.0,0,594.5,3,0.0,0,0.0,0,506.1,1,0.0,0,0.0,0,0.0,0
11,720,0.0,0,0.0,0,0.0,0,0.0,0,494.0,2,618.8,4,0.0,0,0.0,0
12,780,0.0,0,648.6,4,0.0,0,0.0,0,456.0,1,0.0,0,0.0,0,0.0,0
13,840,0.0,0,0.0,0,758.2,1,0.0,0,579.8,1,629.0,3,0.0,0,0.0,0
14,900,0.0,0,662.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
15,960,0.0,0,0.0,0,799.5,1,0.0,0,481.2,4,691.8,1,0.0,0,0.0,0
16,1020,0.0,0,727.1,8,0.0,0,0.0,0,473.3,3,0.0,0,0.0,0,0.0,0
17,1080,0.0,0,0.0,0,888.6,7,0.0,0,0.0,0,705.3,4,0.0,0,0.0,0
18,1140,0.0,0,750.4,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
19,1200,0.0,0,0.0,0,948.0,5,1152.8,1,505.0,1,780.4,2,0.0,0,1151.7,1
20,1260,0.0,0,784.2,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
21,1320,1260.8,1,0.0,0,912.1,5,1158.8,2,0.0,0,765.7,4,0.0,0,0.0,0
22,1380,0.0,0,766.5,4,0.0,0,0.0,0,500.1,1,0.0,0,0.0,0,0.0,0
23,1440,0.0,0,0.0,0,949.3,2,0.0,0,488.8,2,808.2,2,1392.7,1,0.0,0
24,1500,0.0,0,797.2,8,0.0,0,0.0,0,554.5,1,0.0,0,0.0,0,0.0,0
25,1560,1326.9,2,795.0,1,944.3,4,1271.4,2,0.0,0,851.6,5,0.0,0,1151.7,1
26,1620,0.0,0,759.6,3,0.0,0,0.0,0,486.6,2,0.0,0,0.0,0,0.0,0
27,1680,1356.7,5,0.0,0,948.6,2,1282.6,1,526.9,1,865.7,6,0.0,0,0.0,0
28,1740,0.0,0,827.6,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
