,timeNo.:,traveltime1,vehicles1,traveltime2,vehicles2,traveltime3,vehicles3,traveltime4,vehicles4,traveltime5,vehicles5,traveltime6,vehicles6,traveltime7,vehicles7,traveltime8,vehicles8
0,60,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1,120,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2,180,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
3,240,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
4,300,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
5,360,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
6,420,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
7,480,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
8,540,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
9,600,0.0,0,579.9,2,0.0,0,0.0,0,567.4,2,552.5,3,0.0,0,0.0,0
10,660,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
11,720,0.0,0,0.0,0,0.0,0,0.0,0,515.5,4,0.0,0,0.0,0,0.0,0
12,780,0.0,0,656.9,5,0.0,0,0.0,0,554.4,1,634.4,3,0.0,0,0.0,0
13,840,0.0,0,596.3,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
14,900,0.0,0,653.2,1,798.4,2,0.0,0,592.6,2,605.5,2,0.0,0,0.0,0
15,960,0.0,0,672.4,7,0.0,0,0.0,0,482.2,5,633.9,2,0.0,0,0.0,0
16,1020,0.0,0,614.2,6,859.2,5,0.0,0,0.0,0,663.1,1,0.0,0,0.0,0
17,1080,0.0,0,722.2,1,0.0,0,0.0,0,0.0,0,668.3,2,0.0,0,0.0,0
18,1140,0.0,0,685.1,5,908.9,5,0.0,0,548.3,1,710.8,1,0.0,0,0.0,0
19,1200,0.0,0,0.0,0,820.9,2,1103.4,1,0.0,0,673.8,2,0.0,0,0.0,0
20,1260,1245.4,1,720.6,2,931.4,5,0.0,0,570.2,1,0.0,0,0.0,0,0.0,0
21,1320,1089.2,1,719.0,3,831.6,2,0.0,0,0.0,0,699.7,3,0.0,0,0.0,0
22,1380,0.0,0,643.9,2,979.3,1,1254.6,2,0.0,0,678.3,4,0.0,0,1342.3,1
23,1440,1176.8,1,703.0,3,879.0,2,1276.0,1,506.7,3,0.0,0,0.0,0,0.0,0
24,1500,0.0,0,688.1,8,0.0,0,0.0,0,551.6,3,720.6,3,0.0,0,0.0,0
25,1560,1217.1,7,0.0,0,865.7,4,1175.9,2,0.0,0,706.3,5,1512.6,1,1150.7,1
26,1620,0.0,0,706.9,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
27,1680,1231.3,2,754.2,5,852.1,2,0.0,0,515.5,1,0.0,0,0.0,0,0.0,0
28,1740,0.0,0,698.9,2,0.0,0,0.0,0,0.0,0,793.9,1,0.0,0,0.0,0
