,timeNo.:,traveltime1,vehicles1,traveltime2,vehicles2,traveltime3,vehicles3,traveltime4,vehicles4,traveltime5,vehicles5,traveltime6,vehicles6,traveltime7,vehicles7,traveltime8,vehicles8
0,60,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1,120,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2,180,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
3,240,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
4,300,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
5,360,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
6,420,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
7,480,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
8,540,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
9,600,0.0,0,0.0,0,0.0,0,0.0,0,545.1,2,505.6,1,0.0,0,0.0,0
10,660,0.0,0,580.5,3,0.0,0,0.0,0,0.0,0,568.0,2,0.0,0,0.0,0
11,720,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
12,780,0.0,0,0.0,0,0.0,0,0.0,0,508.2,1,543.5,2,0.0,0,0.0,0
13,840,0.0,0,0.0,0,775.9,1,0.0,0,514.3,2,516.6,2,0.0,0,0.0,0
14,900,0.0,0,583.7,8,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
15,960,0.0,0,0.0,0,749.3,1,0.0,0,0.0,0,496.6,1,0.0,0,0.0,0
16,1020,0.0,0,0.0,0,763.4,2,0.0,0,595.8,1,540.9,2,0.0,0,0.0,0
17,1080,0.0,0,593.1,7,914.3,3,0.0,0,514.3,1,528.4,1,0.0,0,0.0,0
18,1140,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,565.8,2,0.0,0,0.0,0
19,1200,0.0,0,610.3,2,892.6,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
20,1260,0.0,0,541.2,3,0.0,0,1257.5,1,483.3,1,0.0,0,0.0,0,1256.4,1
21,1320,0.0,0,0.0,0,969.3,2,0.0,0,491.4,3,560.7,2,0.0,0,0.0,0
22,1380,1311.8,1,570.3,4,878.2,7,1155.3,2,543.2,1,504.2,1,1322.7,1,0.0,0
23,1440,1089.0,1,480.6,1,858.1,1,1140.3,1,0.0,0,0.0,0,0.0,0,0.0,0
24,1500,1117.1,2,0.0,0,1000.8,1,0.0,0,0.0,0,543.5,2,0.0,0,0.0,0
25,1560,0.0,0,631.6,1,0.0,0,1011.6,1,513.7,1,557.5,1,0.0,0,0.0,0
26,1620,1089.7,3,539.6,4,774.7,1,1230.1,1,549.3,2,551.2,2,0.0,0,1228.7,1
27,1680,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,493.7,1,0.0,0,0.0,0
