,timeNo.:,traveltime1,vehicles1,traveltime2,vehicles2,traveltime3,vehicles3,traveltime4,vehicles4,traveltime5,vehicles5,traveltime6,vehicles6,traveltime7,vehicles7,traveltime8,vehicles8
0,60,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1,120,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2,180,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
3,240,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
4,300,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
5,360,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
6,420,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
7,480,0.0,0,0.0,0,0.0,0,0.0,0,448.4,1,0.0,0,0.0,0,0.0,0
8,540,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
9,600,0.0,0,0.0,0,0.0,0,0.0,0,526.9,1,539.1,1,0.0,0,0.0,0
10,660,0.0,0,0.0,0,0.0,0,0.0,0,583.5,1,636.4,1,0.0,0,0.0,0
11,720,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
12,780,0.0,0,664.4,6,633.3,1,0.0,0,569.8,3,649.5,3,0.0,0,0.0,0
13,840,0.0,0,0.0,0,793.1,1,0.0,0,560.3,2,673.4,2,0.0,0,0.0,0
14,900,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
15,960,0.0,0,701.4,9,864.0,2,0.0,0,497.2,1,623.7,3,0.0,0,0.0,0
16,1020,0.0,0,0.0,0,0.0,0,994.7,1,542.7,3,634.1,1,0.0,0,993.7,1
17,1080,0.0,0,0.0,0,892.8,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
18,1140,1076.3,1,745.3,10,899.9,6,0.0,0,515.4,1,701.7,4,0.0,0,0.0,0
19,1200,0.0,0,0.0,0,857.5,2,1108.9,1,0.0,0,661.0,4,0.0,0,0.0,0
20,1260,0.0,0,0.0,0,899.8,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
21,1320,0.0,0,779.7,7,0.0,0,1098.2,1,623.2,2,696.2,1,0.0,0,0.0,0
22,1380,0.0,0,0.0,0,909.6,2,1088.9,2,492.6,2,669.1,5,0.0,0,978.8,1
23,1440,1204.0,1,772.1,2,940.2,4,0.0,0,0.0,0,715.3,1,1434.7,1,0.0,0
24,1500,1177.9,1,756.5,9,0.0,0,1106.6,1,542.5,1,699.5,1,0.0,0,0.0,0
25,1560,1261.8,2,0.0,0,934.3,2,0.0,0,633.9,1,683.0,4,0.0,0,0.0,0
26,1620,1362.8,2,718.5,1,806.6,1,0.0,0,0.0,0,705.6,2,0.0,0,0.0,0
27,1680,1253.9,3,775.0,5,1010.2,1,1132.8,1,487.9,1,0.0,0,1311.8,1,0.0,0
