,date,time,name,origin,destination,distance,duration,speed
0,2023-03-08,10:56:17,中三五路与濠东路人行横道,"113.438208,22.529375","113.432886,22.525924",688,69,35.89565217391304
1,2023-03-08,10:56:17,中山六路-上陂头路（T型口）,"113.431399,22.525319","113.428376,22.524079",344,53,23.36603773584906
2,2023-03-08,10:56:17,中三五路与长江路,"113.426261,22.523266","113.422398,22.52183",431,71,21.853521126760565
3,2023-03-08,10:56:17,中三四路与后塘路交叉口,"113.421657,22.521621","113.418657,22.520795",319,56,20.507142857142856
4,2023-03-08,10:56:17,中三四路与东文路交叉口,"113.417754,22.520549","113.409651,22.518366",870,75,41.76
5,2023-03-08,10:56:17,中三四路与起湾道交叉口,"113.407648,22.518103","113.403345,22.518529",443,88,18.122727272727275
6,2023-03-08,10:56:17,中三三路与东苑路交叉口,"113.402496,22.518537","113.40039,22.51875",215,44,17.590909090909093
7,2023-03-08,10:56:18,中三四路与库充大街人行横道,"113.399653,22.518838","113.397775,22.518976",194,36,19.400000000000002
8,2023-03-08,10:56:18,中三三路与兴中道交叉口,"113.396374,22.519067","113.392929,22.519443",359,64,20.19375
9,2023-03-08,10:56:18,中三二路与华苑大街交叉口,"113.391748,22.519489","113.390324,22.51961",147,45,11.76
10,2023-03-08,10:56:18,中三二路与华柏路交叉口,"113.389834,22.519656","113.383326,22.51981",675,124,19.596774193548388
11,2023-03-08,10:56:18,中三二路与民生路交叉口,"113.381862,22.519739","113.375686,22.519593",639,99,23.236363636363635
12,2023-03-08,10:56:18,中三二路与悦来南路交叉口,"113.37406,22.519455","113.372273,22.519309",185,40,16.650000000000002
13,2023-03-08,10:56:28,中三五路与濠东路人行横道,"113.438208,22.529375","113.432886,22.525924",688,69,35.89565217391304
14,2023-03-08,10:56:28,中山六路-上陂头路（T型口）,"113.431399,22.525319","113.428376,22.524079",344,53,23.36603773584906
15,2023-03-08,10:56:28,中三五路与长江路,"113.426261,22.523266","113.422398,22.52183",431,71,21.853521126760565
16,2023-03-08,10:56:29,中三四路与后塘路交叉口,"113.421657,22.521621","113.418657,22.520795",319,56,20.507142857142856
17,2023-03-08,10:56:29,中三四路与东文路交叉口,"113.417754,22.520549","113.409651,22.518366",870,75,41.76
18,2023-03-08,10:56:29,中三四路与起湾道交叉口,"113.407648,22.518103","113.403345,22.518529",443,88,18.122727272727275
19,2023-03-08,10:56:29,中三三路与东苑路交叉口,"113.402496,22.518537","113.40039,22.51875",215,44,17.590909090909093
20,2023-03-08,10:56:29,中三四路与库充大街人行横道,"113.399653,22.518838","113.397775,22.518976",194,36,19.400000000000002
21,2023-03-08,10:56:29,中三三路与兴中道交叉口,"113.396374,22.519067","113.392929,22.519443",359,64,20.19375
22,2023-03-08,10:56:29,中三二路与华苑大街交叉口,"113.391748,22.519489","113.390324,22.51961",147,45,11.76
23,2023-03-08,10:56:29,中三二路与华柏路交叉口,"113.389834,22.519656","113.383326,22.51981",675,122,19.918032786885245
24,2023-03-08,10:56:29,中三二路与民生路交叉口,"113.381862,22.519739","113.375686,22.519593",639,99,23.236363636363635
25,2023-03-08,10:56:29,中三二路与悦来南路交叉口,"113.37406,22.519455","113.372273,22.519309",185,40,16.650000000000002
26,2023-03-08,10:56:39,中三五路与濠东路人行横道,"113.438208,22.529375","113.432886,22.525924",688,69,35.89565217391304
27,2023-03-08,10:56:40,中山六路-上陂头路（T型口）,"113.431399,22.525319","113.428376,22.524079",344,53,23.36603773584906
28,2023-03-08,10:56:40,中三五路与长江路,"113.426261,22.523266","113.422398,22.52183",431,71,21.853521126760565
29,2023-03-08,10:56:40,中三四路与后塘路交叉口,"113.421657,22.521621","113.418657,22.520795",319,56,20.507142857142856
30,2023-03-08,10:56:40,中三四路与东文路交叉口,"113.417754,22.520549","113.409651,22.518366",870,75,41.76
31,2023-03-08,10:56:40,中三四路与起湾道交叉口,"113.407648,22.518103","113.403345,22.518529",443,88,18.122727272727275
32,2023-03-08,10:56:40,中三三路与东苑路交叉口,"113.402496,22.518537","113.40039,22.51875",215,44,17.590909090909093
33,2023-03-08,10:56:40,中三四路与库充大街人行横道,"113.399653,22.518838","113.397775,22.518976",194,36,19.400000000000002
34,2023-03-08,10:56:40,中三三路与兴中道交叉口,"113.396374,22.519067","113.392929,22.519443",359,64,20.19375
35,2023-03-08,10:56:40,中三二路与华苑大街交叉口,"113.391748,22.519489","113.390324,22.51961",147,45,11.76
36,2023-03-08,10:56:40,中三二路与华柏路交叉口,"113.389834,22.519656","113.383326,22.51981",675,124,19.596774193548388
37,2023-03-08,10:56:41,中三二路与民生路交叉口,"113.381862,22.519739","113.375686,22.519593",639,99,23.236363636363635
