,date,time,name,origin,destination,distance,duration,speed
0,2023-03-08,10:26:50,中三五路与濠东路人行横道,"113.438208,22.529375","113.432886,22.525924",688,71,34.88450704225352
1,2023-03-08,10:26:50,中山六路-上陂头路（T型口）,"113.431399,22.525319","113.428376,22.524079",344,53,23.36603773584906
2,2023-03-08,10:26:50,中三五路与长江路,"113.426261,22.523266","113.422398,22.52183",431,66,23.509090909090908
3,2023-03-08,10:26:50,中三四路与后塘路交叉口,"113.421657,22.521621","113.418657,22.520795",319,49,23.436734693877554
4,2023-03-08,10:26:50,中三四路与东文路交叉口,"113.417754,22.520549","113.409651,22.518366",870,76,41.21052631578947
5,2023-03-08,10:26:50,中三四路与起湾道交叉口,"113.407648,22.518103","113.403345,22.518529",443,87,18.33103448275862
6,2023-03-08,10:26:51,中三三路与东苑路交叉口,"113.402496,22.518537","113.40039,22.51875",215,33,23.454545454545457
7,2023-03-08,10:26:51,中三四路与库充大街人行横道,"113.399653,22.518838","113.397775,22.518976",194,33,21.163636363636364
8,2023-03-08,10:26:51,中三三路与兴中道交叉口,"113.396374,22.519067","113.392929,22.519443",359,62,20.84516129032258
9,2023-03-08,10:26:51,中三二路与华苑大街交叉口,"113.391748,22.519489","113.390324,22.51961",147,39,13.569230769230769
10,2023-03-08,10:26:51,中三二路与华柏路交叉口,"113.389834,22.519656","113.383326,22.51981",675,121,20.082644628099175
11,2023-03-08,10:26:51,中三二路与民生路交叉口,"113.381862,22.519739","113.375686,22.519593",639,90,25.56
12,2023-03-08,10:26:52,中三二路与悦来南路交叉口,"113.37406,22.519455","113.372273,22.519309",185,37,18.0
13,2023-03-08,10:27:02,中三五路与濠东路人行横道,"113.438208,22.529375","113.432886,22.525924",688,72,34.4
14,2023-03-08,10:27:02,中山六路-上陂头路（T型口）,"113.431399,22.525319","113.428376,22.524079",344,54,22.933333333333334
15,2023-03-08,10:27:02,中三五路与长江路,"113.426261,22.523266","113.422398,22.52183",431,67,23.15820895522388
16,2023-03-08,10:27:02,中三四路与后塘路交叉口,"113.421657,22.521621","113.418657,22.520795",319,51,22.51764705882353
17,2023-03-08,10:27:02,中三四路与东文路交叉口,"113.417754,22.520549","113.409651,22.518366",870,74,42.32432432432432
18,2023-03-08,10:27:02,中三四路与起湾道交叉口,"113.407648,22.518103","113.403345,22.518529",443,86,18.54418604651163
19,2023-03-08,10:27:02,中三三路与东苑路交叉口,"113.402496,22.518537","113.40039,22.51875",215,40,19.35
20,2023-03-08,10:27:02,中三四路与库充大街人行横道,"113.399653,22.518838","113.397775,22.518976",194,35,19.954285714285714
21,2023-03-08,10:27:02,中三三路与兴中道交叉口,"113.396374,22.519067","113.392929,22.519443",359,62,20.84516129032258
22,2023-03-08,10:27:03,中三二路与华苑大街交叉口,"113.391748,22.519489","113.390324,22.51961",147,41,12.907317073170733
23,2023-03-08,10:27:03,中三二路与华柏路交叉口,"113.389834,22.519656","113.383326,22.51981",675,118,20.593220338983052
24,2023-03-08,10:27:03,中三二路与民生路交叉口,"113.381862,22.519739","113.375686,22.519593",639,92,25.00434782608696
25,2023-03-08,10:27:03,中三二路与悦来南路交叉口,"113.37406,22.519455","113.372273,22.519309",185,37,18.0
