,date,time,name,origin,destination,distance,duration,speed
0,2023-03-07,22:33:06,中三二路与悦来南路交叉口,"113.371974,22.519177","113.374265,22.519394",238,42,20.400000000000002
1,2023-03-07,22:33:06,中三二路与民生路交叉口,"113.375752,22.519498","113.38199,22.519653",643,72,32.15
2,2023-03-07,22:33:06,中三二路与华柏路交叉口,"113.383365,22.519686","113.386675,22.519707",344,54,22.933333333333334
3,2023-03-07,22:33:06,中三二路与华苑大街交叉口,"113.388121,22.519578","113.389869,22.519423",183,47,14.017021276595745
4,2023-03-07,22:33:06,中三三路与兴中道交叉口,"113.390502,22.519369","113.392096,22.519219",167,45,13.360000000000001
5,2023-03-07,22:33:06,中三四路与库充大街人行横道,"113.392887,22.519152","113.396592,22.518856",385,49,28.285714285714285
6,2023-03-07,22:33:06,中三三路与兴中道交叉口,"113.39785,22.518781","113.399844,22.518576",206,42,17.65714285714286
7,2023-03-07,22:33:06,中三四路与起湾道交叉口,"113.399844,22.518576","113.402728,22.518351",301,62,17.47741935483871
8,2023-03-07,22:33:06,中三四路与东文路交叉口,"113.403307,22.518313","113.408221,22.517863",508,56,32.65714285714286
9,2023-03-07,22:33:07,中三四路与后塘路交叉口,"113.40982,22.518213","113.41795,22.520392",872,97,32.36288659793814
10,2023-03-07,22:33:07,中三五路与长江路,"113.418785,22.520625","113.426641,22.523204",861,92,33.69130434782608
11,2023-03-07,22:33:07,中山六路-上陂头路（T型口）,"113.428487,22.523968","113.432335,22.525481",433,49,31.812244897959182
12,2023-03-07,22:33:07,中三五路与濠东路人行横道,"113.433242,22.525827","113.438362,22.52924",666,81,29.599999999999998
13,2023-03-07,22:33:37,中三二路与悦来南路交叉口,"113.371974,22.519177","113.374265,22.519394",238,41,20.897560975609757
14,2023-03-07,22:33:37,中三二路与民生路交叉口,"113.375752,22.519498","113.38199,22.519653",643,73,31.709589041095892
15,2023-03-07,22:33:37,中三二路与华柏路交叉口,"113.383365,22.519686","113.386675,22.519707",344,56,22.114285714285717
16,2023-03-07,22:33:37,中三二路与华苑大街交叉口,"113.388121,22.519578","113.389869,22.519423",183,47,14.017021276595745
17,2023-03-07,22:33:37,中三三路与兴中道交叉口,"113.390502,22.519369","113.392096,22.519219",167,44,13.663636363636364
18,2023-03-07,22:33:37,中三四路与库充大街人行横道,"113.392887,22.519152","113.396592,22.518856",385,55,25.2
19,2023-03-07,22:33:37,中三三路与兴中道交叉口,"113.39785,22.518781","113.399844,22.518576",206,37,20.043243243243243
20,2023-03-07,22:33:38,中三四路与起湾道交叉口,"113.399844,22.518576","113.402728,22.518351",301,56,19.35
21,2023-03-07,22:33:38,中三四路与东文路交叉口,"113.403307,22.518313","113.408221,22.517863",508,53,34.505660377358495
22,2023-03-07,22:33:38,中三四路与后塘路交叉口,"113.40982,22.518213","113.41795,22.520392",872,90,34.879999999999995
23,2023-03-07,22:33:38,中三五路与长江路,"113.418785,22.520625","113.426641,22.523204",861,91,34.06153846153846
24,2023-03-07,22:33:38,中山六路-上陂头路（T型口）,"113.428487,22.523968","113.432335,22.525481",433,48,32.475
25,2023-03-07,22:33:38,中三五路与濠东路人行横道,"113.433242,22.525827","113.438362,22.52924",666,81,29.599999999999998
26,2023-03-07,22:34:08,中三二路与悦来南路交叉口,"113.371974,22.519177","113.374265,22.519394",238,41,20.897560975609757
27,2023-03-07,22:34:08,中三二路与民生路交叉口,"113.375752,22.519498","113.38199,22.519653",643,73,31.709589041095892
28,2023-03-07,22:34:08,中三二路与华柏路交叉口,"113.383365,22.519686","113.386675,22.519707",344,56,22.114285714285717
29,2023-03-07,22:34:08,中三二路与华苑大街交叉口,"113.388121,22.519578","113.389869,22.519423",183,47,14.017021276595745
30,2023-03-07,22:34:09,中三三路与兴中道交叉口,"113.390502,22.519369","113.392096,22.519219",167,44,13.663636363636364
31,2023-03-07,22:34:09,中三四路与库充大街人行横道,"113.392887,22.519152","113.396592,22.518856",385,55,25.2
32,2023-03-07,22:34:09,中三三路与兴中道交叉口,"113.39785,22.518781","113.399844,22.518576",206,37,20.043243243243243
